nombre,categoria,telefono,web,direccion,ciudad,departamento,rating,resenas
Consultorio Odontologico Nelson Gonzalez,Dentista,+57 311 5661074,,"Carrera 11a # 2b-06, Tunja, Boyaca, Colombia",Tunja,Boyaca,5,1
Odontologia Dra. Paola Alvarado Fonseca,Dentista,+57 314 4761088,https://www.instagram.com/odontologia_drapaola,"Cl. 12 #10-72, Tunja, Boyaca, Colombia",Tunja,Boyaca,5,5
